,label,ndvi,fdi
0,plastic,0.037683033154694234,0.014902002883878454
1,plastic,0.067289169006305,0.014133207589785188
2,plastic,0.08426189381054094,0.017518243488621146
3,plastic,0.1927877424169272,0.016957154363271068
4,plastic,0.2130226807272807,0.017593646103952115
5,plastic,0.09757654473461197,0.02274784357213619
6,plastic,0.08143815587832759,0.02482744355202042
7,plastic,0.1369880750842839,0.025255592268316945
8,plastic,0.10796769566001008,0.02512777706101027
9,plastic,0.08084949144486919,0.02743110480014943
10,plastic,0.0780172600144643,0.02765046096522203
11,plastic,0.17905164214655866,0.023876141233578688
12,plastic,0.17613106698331182,0.024491787964918868
13,plastic,0.19587573107319178,0.026259082332268896
14,plastic,0.14733125443613038,0.02650037168473933
15,plastic,0.13669670439563375,0.027639852582222957
16,plastic,0.16490955918448025,0.027817314262374576
17,plastic,0.18441493195243563,0.0291309069166375
18,plastic,0.15720134852562995,0.027854742020749668
19,plastic,0.13199783422908806,0.02889043753694226
20,plastic,0.150576290686665,0.029453079162203244
21,plastic,0.1874244157570728,0.030400129597715056
22,plastic,0.07201725386324143,0.028642397187885582
23,plastic,0.1446173407825363,0.03052860824043903
24,plastic,0.13675619946091144,0.030773971878100367
25,plastic,0.12794292306438781,0.03133487241646593
26,plastic,0.11067208423784358,0.03181541950577141
27,plastic,0.11436403583521404,0.03154264767498691
28,plastic,0.08422807889137107,0.03186435899648173
29,plastic,0.09506860492547842,0.03218316001441813
30,plastic,0.0993583380459927,0.03276831565935966
31,plastic,0.04836012260488931,0.033083495588132714
32,plastic,0.03686649445016699,0.03367248315571431
33,plastic,0.11681554070179057,0.03433277240714557
34,plastic,0.1456784304084533,0.032834783377840356
35,plastic,0.17494090152188269,0.03184934781304389
36,plastic,0.20073218642194612,0.033502545343440784
37,plastic,0.22123066396897284,0.034504404186128206
38,plastic,0.1559412091498088,0.035962006523349375
39,plastic,0.18868191407118529,0.038094693307992825
40,plastic,0.1507174021331702,0.03741468048753551
41,plastic,0.15506504774860153,0.03791603434962415
42,plastic,0.16036371096805035,0.038515372165825984
43,plastic,0.14976458294440242,0.039443206921240564
44,plastic,0.09112915079043116,0.03635508041205614
45,plastic,0.08368223058830282,0.038795820550778445
46,plastic,0.03363624457658054,0.03994461942414384
47,plastic,0.10581237769851981,0.04095756241062347
48,plastic,0.09235712160682008,0.04422708715801506
49,plastic,0.052882319785286014,0.04800177349716794
50,plastic,0.16010573864654742,0.04284635035706208
51,plastic,0.18831886115418828,0.04359336539354872
52,plastic,0.2059918862236655,0.043782548114369935
53,plastic,0.16978208612654755,0.043780353208627894
54,plastic,0.16102822807221073,0.044317888705684386
55,plastic,0.1724999524371038,0.045930757804425064
56,plastic,0.12559509660165824,0.04645263119860787
57,plastic,0.17891335566685562,0.05223600115361827
58,plastic,0.17548985318027321,0.060246235219891704
0,pumice,-0.08077072391966678,0.005806077629658402
1,pumice,-0.0647875565432392,0.008572908388064723
2,pumice,-0.09314324460608592,0.011758927066884056
3,pumice,-0.09137566695768518,0.02031788939256647
4,pumice,-0.09478500565466097,0.027613220679387526
5,pumice,-0.08263240835328411,0.027644338155314835
6,pumice,-0.0937734192861267,0.03292851128939072
7,pumice,-0.08758727050989368,0.03230463801912263
8,pumice,-0.08318835155279891,0.03725166839062111
9,pumice,-0.09007577936060429,0.046637360016747606
0,seafoam,-0.23286099468606303,0.025045691092567282
1,seafoam,-0.22899409558939993,0.027920477743717295
2,seafoam,-0.2202529447213784,0.030415732608394933
3,seafoam,-0.1695746844880665,0.028954845682249958
4,seafoam,-0.17149414237229377,0.028111371905787982
5,seafoam,-0.164140750021666,0.028701379346718334
6,seafoam,-0.25998004257267476,0.029696332256573352
7,seafoam,-0.25342357502795,0.0322810995400702
8,seafoam,-0.25712441421927035,0.03095610941597607
9,seafoam,-0.2973269029139975,0.032534881711605936
10,seafoam,-0.20271243871425831,0.036790342648580145
11,seafoam,-0.18125033666703,0.03966969904308851
12,seafoam,-0.14762762843307942,0.04148805540181818
13,seafoam,-0.19914293828105123,0.045344556664399016
14,seafoam,-0.11296648076761362,0.053020036262877004
15,seafoam,-0.12698259019638714,0.061658059619504206
0,seawater,-0.08859672288801723,0.004587845076873057
1,seawater,-0.07511841197354685,0.0056765642058477506
2,seawater,-0.08748298932950671,0.0009780917301495384
3,seawater,-0.06968251711499629,-0.0015551874268084909
4,seawater,-0.057806034012772955,0.00047310857125310024
5,seawater,-0.04112266140361043,0.0002327453046060829
6,seawater,-0.0399941854121153,0.0023904066403980795
7,seawater,-0.0038919381911347584,0.00516136165839555
8,seawater,0.03108298345942162,0.006224713711780003
9,seawater,-0.018823666778921444,0.00031266437986773865
10,seawater,-0.0035804606966640673,0.0014963286465066866
11,seawater,-0.014174646428608662,-0.0009569198070055879
12,seawater,0.010371415079497237,-0.00042884628658655666
13,seawater,0.01181601285793521,-0.00011931564940541317
0,seaweed,0.556774517258172,0.04783982014094989
1,seaweed,0.5253172815196647,0.04093427383029552
2,seaweed,0.462899147079586,0.0362800762321596
3,seaweed,0.454307281775719,0.039602477713141196
4,seaweed,0.43934765809805065,0.0384282530564547
5,seaweed,0.45263079351121527,0.04156850151088603
6,seaweed,0.44501871022426687,0.04116902857451822
7,seaweed,0.4347886834789132,0.04589955372982289
8,seaweed,0.415913223974099,0.046342856982706605
9,seaweed,0.44783164107821993,0.04777207757368977
10,seaweed,0.4481729427744525,0.04932817095600658
11,seaweed,0.4679654702457543,0.050476587218293185
12,seaweed,0.47707465851629394,0.05235302778290527
13,seaweed,0.42137386541861765,0.05119038950274445
14,seaweed,0.4345831739673047,0.053497185371799906
15,seaweed,0.42627996469766805,0.05436707185855741
16,seaweed,0.4739052029874762,0.0553626666698565
17,seaweed,0.4392251105042897,0.05628811737887807
18,seaweed,0.4410699629249579,0.05849109346498281
19,seaweed,0.4522332571633063,0.057158516006249056
20,seaweed,0.46416256873800577,0.059191128400820255
21,seaweed,0.49205861724037847,0.06111084171895557
22,seaweed,0.47613547986109706,0.06331949708837939
23,seaweed,0.504190076627556,0.06384490872665961
24,seaweed,0.5235617330809048,0.06346628572679708
25,seaweed,0.5222453889769105,0.06617448169826559
26,seaweed,0.49148834461696644,0.06448186783982882
27,seaweed,0.452305647032458,0.06638637199777642
28,seaweed,0.45997501579631117,0.06910636238553247
29,seaweed,0.48814892631793994,0.06882557503667242
30,seaweed,0.4902293096527286,0.06705361802714936
31,seaweed,0.5291872631481247,0.06824678359681988
32,seaweed,0.5865514001595797,0.06788261955269892
33,seaweed,0.5548602663207334,0.07068695696843463
34,seaweed,0.4919711643831972,0.07205661724269202
35,seaweed,0.47491440344994307,0.07224417749420985
36,seaweed,0.5039072659421517,0.07245027742060475
37,seaweed,0.4500127345384608,0.07330574265080189
38,seaweed,0.4853889964286908,0.07493119869633508
39,seaweed,0.5232700899389748,0.07557351033949865
40,seaweed,0.5745455115495774,0.07526064517263598
41,seaweed,0.5299515388986131,0.07863207300802415
42,seaweed,0.5407324817924899,0.07734381721064741
43,seaweed,0.5453800773080548,0.07863802051961934
44,seaweed,0.5637164297464943,0.08226188123411664
45,seaweed,0.46363833013246425,0.0790517145541187
46,seaweed,0.4440117049900143,0.08143948451617479
47,seaweed,0.4885504486026808,0.08684270886898443
0,timber,0.37738021922056886,0.024343816602733673
1,timber,0.3446125947058548,0.022079943628595833
2,timber,0.3256269953887704,0.024054706931116124
3,timber,0.30282399411744965,0.027972540319308695
4,timber,0.3172923397802133,0.02932171487024554
5,timber,0.31891266796736395,0.0313030191637164
6,timber,0.32700474052883255,0.033305796390590496
7,timber,0.28327582705883014,0.03459683250259744
8,timber,0.32024305681519505,0.03672705181077232
9,timber,0.34533249999710425,0.03817494108901168
10,timber,0.3263868369358075,0.038672664333343855
11,timber,0.3177716239375231,0.03978699983555138
12,timber,0.28998318386961885,0.03950673804893179
13,timber,0.3385447519680117,0.041781149139112066
14,timber,0.36685301410302573,0.04169182911389134
15,timber,0.36362777550536785,0.0452873940999064
16,timber,0.28199412494956844,0.04508871221453663
17,timber,0.3124251044535291,0.04610715449920601
18,timber,0.3213239902609428,0.04799461448977681
19,timber,0.30864982218877257,0.04926374560249612
20,timber,0.3028974205226468,0.054790149651972944
21,timber,0.3313861125245078,0.05497042383331892
22,timber,0.32339070091641064,0.05648462587475351
23,timber,0.32727835628166824,0.0576462926631151
24,timber,0.3108051078011078,0.0574375289311043
25,timber,0.32155334794695034,0.059932086739504196
26,timber,0.34581254663469785,0.0611595987838046
27,timber,0.3632089028148684,0.06015720009380075
28,timber,0.37295519718848036,0.06346552589056073
29,timber,0.33683170951223296,0.06531990997112327
30,timber,0.32010477783226365,0.06563222775443255
31,timber,0.31095209913912314,0.06815075985237048
32,timber,0.3594733550809881,0.06836347646083196
33,timber,0.32333844682816626,0.06800614589809517
34,timber,0.3189794394814852,0.06945694996033018
35,timber,0.3301495244061913,0.0693062213142575
36,timber,0.33472365376522406,0.07187312954386357
37,timber,0.39929731176240213,0.0749877217428138
38,timber,0.40709595867835136,0.0761788435054663
39,timber,0.36987236030371706,0.08082953036603277
40,timber,0.35761320995230017,0.08350011830802247
41,timber,0.34437241335279123,0.08276280273809584
42,timber,0.3695041807282571,0.08350826021922043
43,timber,0.3012632018990651,0.08768796597350145
44,timber,0.33849569450998096,0.09002146219752877
45,timber,0.34555127424317167,0.09272204923989871
46,timber,0.36542555561694656,0.09279763601093098
47,timber,0.3747801829920223,0.08964484830224405
